cik,company,event_date,source,chapter,sic,excluded_sic,reason,n_usgaap_tags,n_quarters_extracted
23341,CONGOLEUM CORP,2010-06-10,8K_FTS+8K_SUBMISSIONS,,3089.0,,no entry in companyfacts.zip (never filed XBRL),,
1003429,REUNION INDUSTRIES INC,2010-06-11,8K_FTS+8K_SUBMISSIONS,,3089.0,,no 10-K/10-Q with a period end in 2010-2024,,
1066961,"Infosmart Group, Inc.",2010-06-18,8K_FTS+8K_SUBMISSIONS,,3652.0,,no entry in companyfacts.zip (never filed XBRL),,
1170605,TierOne Corporation,2010-06-24,8K_FTS+8K_SUBMISSIONS+LOPUCKI,7.0,6035.0,,no 10-K/10-Q with a period end in 2010-2024,,
1234383,BANK HOLDINGS,2010-06-24,8K_FTS+8K_SUBMISSIONS+LOPUCKI,7.0,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
1163958,MEDICAL STAFFING NETWORK HOLDINGS INC,2010-07-09,8K_FTS+8K_SUBMISSIONS,,7363.0,,no entry in companyfacts.zip (never filed XBRL),,
1089787,BAY NATIONAL CORP,2010-07-15,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1305748,HEALTHCARE PROVIDERS DIRECT INC.,2010-07-16,8K_FTS+8K_SUBMISSIONS,,5047.0,,no 10-K/10-Q with a period end in 2010-2024,,
806817,JENNIFER CONVERTIBLES INC,2010-07-20,8K_FTS+8K_SUBMISSIONS,,5712.0,,no entry in companyfacts.zip (never filed XBRL),,
1095274,FIRST NATIONAL BANCSHARES INC /SC/,2010-07-21,8K_FTS+8K_SUBMISSIONS+LOPUCKI,7.0,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1084727,Nexity Financial Corporation,2010-07-22,LOPUCKI,11.0,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
1116694,CAPITAL GROWTH SYSTEMS INC /FL/,2010-07-23,8K_FTS+8K_SUBMISSIONS,,7389.0,,no entry in companyfacts.zip (never filed XBRL),,
883476,CRESCENT BANKING CO,2010-07-26,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
1141590,PLAYLOGIC ENTERTAINMENT INC,2010-07-27,8K_FTS+8K_SUBMISSIONS,,7372.0,,no entry in companyfacts.zip (never filed XBRL),,
819551,ILX RESORTS INC,2010-07-28,8K_FTS+8K_SUBMISSIONS,,6532.0,6532.0,SIC excluded (financial 6000-6799),,
894267,COWLITZ BANCORPORATION,2010-08-02,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
