cik,company,event_date,prior_event_date,n_events,all_event_dates,source,chapter,sic,is_primary_filer,date_discrepancy_days,in_window
26780,Dana Corporation,2006-03-03,,2,2006-03-03;2007-12-27,8K_SUBMISSIONS+LOPUCKI,11,3714,1,3,0
931702,"OCA, Inc.",2006-03-14,,1,2006-03-14,8K_SUBMISSIONS+LOPUCKI,11,8000,1,6,0
1122771,"American Southwest Music Distribution, Inc",2006-03-14,,1,2006-03-14,8K_SUBMISSIONS,,7011.0,1,,0
353779,TELEVIDEO INC,2006-03-15,,1,2006-03-15,8K_SUBMISSIONS,,3575.0,1,,0
74585,Oneida Ltd.,2006-03-19,,1,2006-03-19,8K_SUBMISSIONS+LOPUCKI,11,3910,1,3,0
1156295,SERACARE LIFE SCIENCES INC,2006-03-23,,1,2006-03-23,8K_SUBMISSIONS,,2835.0,1,,0
1339121,Hartford Life Global Funding Trust 2005-113,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1340103,Hartford Life Global Funding Trust 2005-119,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1338738,Hartford Life Global Funding Trust 2005-112,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1339357,Hartford Life Global Funding Trust 2005-116,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1338259,Hartford Life Global Funding Trust 2005-109,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1340048,Hartford Life Global Funding Trust 2005-117,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1337602,Hartford Life Global Funding Trust 2005-106,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1337622,Hartford Life Global Funding Trust 2005-107,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1238631,CURATIVE HEALTH SERVICES INC,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,8093.0,1,,0
1338673,Hartford Life Global Funding Trust 2005-110,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1339352,Hartford Life Global Funding Trust 2005-115,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1338218,Hartford Life Global Funding Trust 2005-108,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1337596,Hartford Life Global Funding Trust 2005-105,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
1340051,Hartford Life Global Funding Trust 2005-118,2006-03-27,,1,2006-03-27,8K_SUBMISSIONS,,6189.0,1,,0
855581,"WEIDA COMMUNICATIONS, INC.",2006-03-31,,1,2006-03-31,8K_SUBMISSIONS,,4813.0,1,,0
1002178,SCHLOTZSKYS INC,2006-04-13,,1,2006-04-13,8K_SUBMISSIONS,,5812.0,1,,0
774937,ExeLED Holdings Inc.,2006-04-13,,2,2006-04-13;2008-05-02,8K_SUBMISSIONS,,3640.0,1,,0
1018693,Prosoft Learning CORP,2006-04-14,,1,2006-04-14,8K_SUBMISSIONS,,8200.0,1,,0
1210936,EASY GARDENER PRODUCTS LTD,2006-04-20,,1,2006-04-20,8K_SUBMISSIONS,,2870.0,1,,0
1110418,IDI GLOBAL INC,2006-04-21,,1,2006-04-21,8K_SUBMISSIONS,,7372.0,1,,0
1341849,Hartford Life Global Funding Trust 2005-126,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1341433,Hartford Life Global Funding Trust 2005-125,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1342516,Hartford Life Global Funding Trust 2005-131,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1341377,Hartford Life Global Funding Trust 2005-124,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1342451,Hartford Life Global Funding Trust 2005-129,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1341353,Hartford Life Global Funding Trust 2005-123,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1342508,Hartford Life Global Funding Trust 2005-130,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1340753,Hartford Life Global Funding Trust 2005-122,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1340747,Hartford Life Global Funding Trust 2005-121,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1340746,Hartford Life Global Funding Trust 2005-120,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
1341890,Hartford Life Global Funding Trust 2005-127,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
843964,HEARTLAND PARTNERS L P,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6552.0,1,,0
1341871,Hartford Life Global Funding Trust 2005-128,2006-04-26,,1,2006-04-26,8K_SUBMISSIONS,,6189.0,1,,0
894503,INTEGRAL HEALTH INC,2006-04-27,,1,2006-04-27,8K_SUBMISSIONS,,6770.0,1,,0
802301,"Silicon Graphics, Inc. (2006)",2006-05-08,,2,2006-05-08;2009-04-01,8K_SUBMISSIONS+LOPUCKI,11,3571,1,1,0
1121811,ENERGY & ENGINE TECHNOLOGY CORP,2006-05-11,,1,2006-05-11,8K_SUBMISSIONS,,4581.0,1,,0
1118326,CERTIFIED SERVICES INC,2006-05-23,,1,2006-05-23,8K_SUBMISSIONS,,8741.0,1,,0
944163,AIRNET COMMUNICATIONS CORP,2006-05-23,,1,2006-05-23,8K_SUBMISSIONS,,3663.0,1,,0
840319,Aphton CORP,2006-05-24,,1,2006-05-24,8K_SUBMISSIONS,,2836.0,1,,0
1343182,Hartford Life Global Funding Trust 2005-132,2006-05-25,,1,2006-05-25,8K_SUBMISSIONS,,6189.0,1,,0
1343180,Hartford Life Global Funding Trust 2005-134,2006-05-25,,1,2006-05-25,8K_SUBMISSIONS,,6189.0,1,,0
1343181,Hartford Life Global Funding Trust 2005-133,2006-05-25,,1,2006-05-25,8K_SUBMISSIONS,,6189.0,1,,0
1343929,Hartford Life Global Funding Trust 2005-137,2006-05-25,,1,2006-05-25,8K_SUBMISSIONS,,6189.0,1,,0
1343928,Hartford Life Global Funding Trust 2005-136,2006-05-25,,1,2006-05-25,8K_SUBMISSIONS,,6189.0,1,,0
1344562,Hartford Life Global Funding Trust 2005-138,2006-05-25,,1,2006-05-25,8K_SUBMISSIONS,,6189.0,1,,0
1344563,Hartford Life Global Funding Trust 2005-139,2006-05-25,,1,2006-05-25,8K_SUBMISSIONS,,6189.0,1,,0
